Comuna,Año,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis
Alhué,2020,0.0,0.0,0.0,0.0,0.0
Alhué,2021,7894.0,7538.0,5430.0,0.0,602.0
Alhué,2022,551.0,666.0,2516.0,6052.0,0.0
Alhué,2023,5.0,1.0,7.0,30.0,0.0
Buin,2020,0.0,0.0,0.0,0.0,0.0
Buin,2021,98241.0,93820.0,63672.0,0.0,2613.0
Buin,2022,3959.0,6178.0,27184.0,67680.0,0.0
Buin,2023,37.0,35.0,88.0,272.0,0.0
Calera De Tango,2020,0.0,0.0,0.0,0.0,0.0
Calera De Tango,2021,28409.0,27165.0,20076.0,0.0,1746.0
Calera De Tango,2022,891.0,1656.0,7339.0,20942.0,0.0
Calera De Tango,2023,10.0,4.0,26.0,104.0,0.0
Cerrillos,2020,0.0,0.0,0.0,0.0,0.0
Cerrillos,2021,67484.0,63675.0,44695.0,0.0,2186.0
Cerrillos,2022,3271.0,5145.0,18366.0,47773.0,0.0
Cerrillos,2023,22.0,22.0,77.0,180.0,0.0
Cerro Navia,2020,0.0,0.0,0.0,0.0,0.0
Cerro Navia,2021,102696.0,96186.0,61281.0,0.0,4165.0
Cerro Navia,2022,6080.0,9213.0,31898.0,65227.0,3.0
Cerro Navia,2023,31.0,35.0,119.0,258.0,0.0
Colina,2020,0.0,0.0,0.0,0.0,0.0
Colina,2021,132312.0,124449.0,83743.0,0.0,5702.0
Colina,2022,7109.0,11794.0,40083.0,90348.0,1.0
Colina,2023,107.0,64.0,215.0,638.0,0.0
Conchalí,2020,0.0,0.0,0.0,0.0,0.0
Conchalí,2021,132323.0,125727.0,82264.0,0.0,3088.0
Conchalí,2022,5361.0,8525.0,38211.0,87494.0,0.0
Conchalí,2023,37.0,34.0,105.0,329.0,0.0
Curacaví,2020,0.0,0.0,0.0,0.0,0.0
Curacaví,2021,31506.0,30075.0,22046.0,0.0,1761.0
Curacaví,2022,1324.0,2197.0,8515.0,22702.0,0.0
Curacaví,2023,11.0,3.0,19.0,61.0,0.0
El Bosque,2020,0.0,0.0,0.0,0.0,0.0
El Bosque,2021,144424.0,135822.0,86015.0,0.0,4456.0
El Bosque,2022,7078.0,11432.0,45804.0,92755.0,0.0
El Bosque,2023,67.0,62.0,221.0,702.0,0.0
El Monte,2020,0.0,0.0,0.0,0.0,0.0
El Monte,2021,31759.0,29894.0,19854.0,0.0,1568.0
El Monte,2022,1533.0,2510.0,10018.0,20607.0,0.0
El Monte,2023,7.0,5.0,19.0,92.0,0.0
Estación Central,2020,190.0,0.0,0.0,0.0,0.0
Estación Central,2021,128382.0,120668.0,82818.0,0.0,10488.0
Estación Central,2022,8600.0,11271.0,39035.0,89102.0,20.0
Estación Central,2023,66.0,65.0,143.0,365.0,0.0
Huechuraba,2020,0.0,0.0,0.0,0.0,0.0
Huechuraba,2021,102797.0,98336.0,72787.0,0.0,2918.0
Huechuraba,2022,3108.0,5768.0,23804.0,75983.0,0.0
Huechuraba,2023,35.0,28.0,85.0,277.0,0.0
Independencia,2020,391.0,0.0,0.0,0.0,0.0
Independencia,2021,121582.0,115153.0,80116.0,0.0,5521.0
Independencia,2022,7350.0,10360.0,34017.0,84470.0,0.0
Independencia,2023,60.0,43.0,167.0,327.0,0.0
Isla De Maipo,2020,0.0,0.0,0.0,0.0,0.0
Isla De Maipo,2021,35582.0,33986.0,24467.0,0.0,2497.0
Isla De Maipo,2022,1580.0,2468.0,10421.0,25240.0,0.0
Isla De Maipo,2023,13.0,3.0,25.0,98.0,0.0
La Cisterna,2020,0.0,0.0,0.0,0.0,0.0
La Cisterna,2021,79100.0,75572.0,53550.0,0.0,2435.0
La Cisterna,2022,3855.0,5447.0,20393.0,56231.0,0.0
La Cisterna,2023,21.0,20.0,60.0,180.0,0.0
La Florida,2020,235.0,0.0,0.0,0.0,0.0
La Florida,2021,374355.0,357746.0,253974.0,0.0,8848.0
La Florida,2022,15161.0,25198.0,99700.0,271971.0,0.0
La Florida,2023,117.0,82.0,368.0,1259.0,0.0
La Granja,2020,0.0,0.0,0.0,0.0,0.0
La Granja,2021,117665.0,111834.0,74451.0,0.0,3886.0
La Granja,2022,5486.0,8247.0,34610.0,78064.0,0.0
La Granja,2023,25.0,26.0,80.0,232.0,0.0
