Comuna,Año,Población,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020,% Vacunados 1ra dosis,% Vacunados 2da dosis,% Vacunados 4ta dosis,% Vacunados dosis de refuerzo,% Fallecidos COVID,% Casos confirmados
Santiago,2020,423043,939103.0,86.56842105263158,73.2,1228.0,0.0,0.0,0.0,0.0,542.0,5629.0,15278353.0,0.29027782045796763,0.0,0.0,0.0,0.1281193637526209,221.98759936933126
Santiago,2021,426996,3899492.0,88.12115384615385,403.7,338702.0,326012.0,251288.0,0.0,14865.0,416.0,25461.0,,79.32205453915259,76.35012974360416,0.0,58.85020000187355,0.09742480023232068,913.238531508492
Santiago,2022,430949,11079721.0,89.9025641025641,532.1,15783.0,20733.0,73303.0,260412.0,0.0,161.0,45460.0,,3.662382323662429,4.811010119526904,60.427567995284825,17.009669357627004,0.03735940911801629,2571.0051537420904
Santiago,2023,434903,282536.0,,,143.0,77.0,257.0,711.0,0.0,,2924.0,,0.03288089528009694,0.017705097458513737,0.16348473107796452,0.05909363697192248,,64.9652911108914
Cerrillos,2020,82070,189656.0,93.82105263157894,64.0,0.0,0.0,0.0,0.0,0.0,126.0,1780.0,1616394.0,0.0,0.0,0.0,0.0,0.15352747654441332,231.09053247227976
Cerrillos,2021,82813,739728.0,85.41923076923078,338.3,67484.0,63675.0,44695.0,0.0,2186.0,130.0,8491.0,,81.48962119473995,76.8901017956118,0.0,53.97099489210632,0.15698018427058555,893.2510596162439
Cerrillos,2022,83556,1678733.0,92.7948717948718,654.9,3271.0,5145.0,18366.0,47773.0,0.0,52.0,13502.0,,3.914739815213749,6.157547034324286,57.17482885729331,21.980468188998994,0.06223371152281105,2009.1112547273685
Cerrillos,2023,84298,41961.0,,,22.0,22.0,77.0,180.0,0.0,,820.0,,0.02609789081591497,0.02609789081591497,0.21352819758475883,0.0913426178557024,,49.776981660300365
Cerro Navia,2020,129640,401463.0,91.64736842105263,82.1,0.0,0.0,0.0,0.0,0.0,424.0,5237.0,1186714.0,0.0,0.0,0.0,0.0,0.32705954952175254,309.6752545510645
Cerro Navia,2021,129043,1585665.0,90.78653846153846,438.9,102696.0,96186.0,61281.0,0.0,4165.0,349.0,21636.0,,79.5827747340034,74.53794471610239,0.0,47.4888215556055,0.27045248483063783,1228.7880783924738
Cerro Navia,2022,128445,2956795.0,93.98974358974358,446.1,6080.0,9213.0,31898.0,65227.0,3.0,116.0,34491.0,,4.7335435400365915,7.172719841177158,50.78204679045506,24.83397563159329,0.09031102806648761,2301.993070964226
Cerro Navia,2023,127848,67932.0,,,31.0,35.0,119.0,258.0,0.0,,2058.0,,0.02424754395845066,0.027376259307928162,0.20180214004129907,0.09307928164695577,,53.13497278017646
Conchalí,2020,123696,381377.0,90.47894736842105,108.5,0.0,0.0,0.0,0.0,0.0,371.0,4828.0,1641957.0,0.0,0.0,0.0,0.0,0.2999288578450394,308.3179730953305
Conchalí,2021,123169,1320642.0,86.4921568627451,445.7,132323.0,125727.0,82264.0,0.0,3088.0,289.0,20878.0,,107.43206488645683,102.07682127808133,0.0,66.7895330805641,0.2346369622226372,1072.2194708084014
Conchalí,2022,122642,2668503.0,93.11282051282052,516.6,5361.0,8525.0,38211.0,87494.0,0.0,106.0,32455.0,,4.371259438039171,6.95112604164968,71.34097617455683,31.156536912313886,0.08643042350907519,2175.8475889173365
Conchalí,2023,122114,63378.0,,,37.0,34.0,105.0,329.0,0.0,,1984.0,,0.030299556152447712,0.027842835383330333,0.2694203776798729,0.08598522691910837,,51.900682968373815
El Bosque,2020,158865,396020.0,91.56315789473685,92.1,0.0,0.0,0.0,0.0,0.0,341.0,4583.0,926224.0,0.0,0.0,0.0,0.0,0.21464765681553521,249.28083592987758
El Bosque,2021,157963,1828017.0,92.07692307692308,441.5,144424.0,135822.0,86015.0,0.0,4456.0,313.0,21037.0,,91.42900552661067,85.98342649861044,0.0,54.45262498179954,0.1981476674917544,1157.243784936979
El Bosque,2022,157061,3671688.0,93.77435897435898,552.7,7078.0,11432.0,45804.0,92755.0,0.0,91.0,34442.0,,4.506529310267985,7.27870063223843,59.0566722483621,29.163191371505338,0.05793927200259772,2337.746480666747
El Bosque,2023,156159,87215.0,,,67.0,62.0,221.0,702.0,0.0,,2074.0,,0.042904987864932534,0.0397031230988928,0.4495418131519797,0.14152242265895656,,55.85012711403121
Estación Central,2020,157168,386302.0,90.60526315789474,68.0,190.0,0.0,0.0,0.0,0.0,268.0,2968.0,5460067.0,0.12088974854932302,0.0,0.0,0.0,0.17051817163799246,245.78921917947673
Estación Central,2021,163138,1601047.0,84.80588235294118,399.5,128382.0,120668.0,82818.0,0.0,10488.0,235.0,13766.0,,78.69533768956344,73.96682563228677,0.0,50.76560948399514,0.1440498228493668,981.4065392489795
Estación Central,2022,169108,3460859.0,87.38461538461539,505.5,8600.0,11271.0,39035.0,89102.0,20.0,82.0,22973.0,,5.085507486340091,6.664971497504553,52.68940558696218,23.082881945265747,0.048489722544172956,2046.5377155427302
Estación Central,2023,175079,82096.0,,,66.0,65.0,143.0,365.0,0.0,,1400.0,,0.0376972680904049,0.03712609736176241,0.20847731595451197,0.08167741419587729,,46.89083213863456
Huechuraba,2020,99534,238882.0,89.39473684210526,88.9,0.0,0.0,0.0,0.0,0.0,215.0,2888.0,776352.0,0.0,0.0,0.0,0.0,0.21600659071272127,240.0004018727269
Huechuraba,2021,100103,892688.0,87.65961538461539,353.4,102797.0,98336.0,72787.0,0.0,2918.0,195.0,11292.0,,102.69122803512383,98.23481813731856,0.0,72.71210653027383,0.19479935666263748,891.7694774382387
Huechuraba,2022,100671,2199743.0,93.87435897435896,597.5,3108.0,5768.0,23804.0,75983.0,0.0,62.0,17533.0,,3.0872843221980513,5.72955468804323,75.47655233383993,23.645339770142346,0.06158675288812072,2185.081105780215
Huechuraba,2023,101240,56266.0,,,35.0,28.0,85.0,277.0,0.0,,1058.0,,0.0345713156854998,0.02765705254839984,0.27360726985381273,0.08395890952192808,,55.57684709600949
Independencia,2020,106412,406627.0,87.50526315789473,78.60000000000001,391.0,0.0,0.0,0.0,0.0,410.0,5104.0,1503482.0,0.36743976243280835,0.0,0.0,0.0,0.38529489155358415,382.12513626282754
Independencia,2021,109044,1326283.0,85.92692307692307,391.8,121582.0,115153.0,80116.0,0.0,5521.0,204.0,18991.0,,111.49811085433403,105.60232566670335,0.0,73.47125930816918,0.1870804445911742,1216.2824181064525
Independencia,2022,111677,2556388.0,91.17435897435898,417.7,7350.0,10360.0,34017.0,84470.0,0.0,93.0,28044.0,,6.581480519713101,9.276753494452752,75.63777680274363,30.46016637266402,0.08327587596371679,2289.090860248753
Independencia,2023,114310,59870.0,,,60.0,43.0,167.0,327.0,0.0,,1698.0,,0.05248884612019946,0.037617006386142945,0.2860642113550871,0.14609395503455516,,52.37512028693902
La Cisterna,2020,95184,203745.0,90.1421052631579,99.1,0.0,0.0,0.0,0.0,0.0,208.0,2520.0,4298804.0,0.0,0.0,0.0,0.0,0.21852412170112623,214.0538325769037
La Cisterna,2021,97177,892012.0,88.61538461538461,447.3,79100.0,75572.0,53550.0,0.0,2435.0,207.0,12053.0,,81.39786163392573,77.7673729380409,0.0,55.10563199110901,0.21301336736058943,917.9250234108894
La Cisterna,2022,99170,1997682.0,91.57435897435896,570.3,3855.0,5447.0,20393.0,56231.0,0.0,90.0,21043.0,,3.887264293637189,5.4925884844206925,56.70162347484118,20.563678531814055,0.0907532519915297,2014.4015327215893
