Comuna,Año,Total fallecidos
Alhué,2020.0,83.0
Alhué,2021.0,541.0
Alhué,2022.0,1088.0
Alhué,2023.0,70.0
Buin,2020.0,1762.0
Buin,2021.0,8405.0
Buin,2022.0,14491.0
Buin,2023.0,896.0
Calera De Tango,2020.0,204.0
Calera De Tango,2021.0,1573.0
Calera De Tango,2022.0,3063.0
Calera De Tango,2023.0,198.0
Cerrillos,2020.0,1780.0
Cerrillos,2021.0,8491.0
Cerrillos,2022.0,13502.0
Cerrillos,2023.0,820.0
Cerro Navia,2020.0,5237.0
Cerro Navia,2021.0,21636.0
Cerro Navia,2022.0,34491.0
Cerro Navia,2023.0,2058.0
Colina,2020.0,2384.0
Colina,2021.0,10524.0
Colina,2022.0,16823.0
Colina,2023.0,1036.0
Conchalí,2020.0,4828.0
Conchalí,2021.0,20878.0
Conchalí,2022.0,32455.0
Conchalí,2023.0,1984.0
Curacaví,2020.0,406.0
Curacaví,2021.0,2368.0
Curacaví,2022.0,4694.0
Curacaví,2023.0,320.0
El Bosque,2020.0,4583.0
El Bosque,2021.0,21037.0
El Bosque,2022.0,34442.0
El Bosque,2023.0,2074.0
El Monte,2020.0,868.0
El Monte,2021.0,3841.0
El Monte,2022.0,6551.0
El Monte,2023.0,412.0
Estación Central,2020.0,2968.0
Estación Central,2021.0,13766.0
Estación Central,2022.0,22973.0
Estación Central,2023.0,1400.0
Huechuraba,2020.0,2888.0
Huechuraba,2021.0,11292.0
Huechuraba,2022.0,17533.0
Huechuraba,2023.0,1058.0
Independencia,2020.0,5104.0
Independencia,2021.0,18991.0
Independencia,2022.0,28044.0
Independencia,2023.0,1698.0
Isla De Maipo,2020.0,446.0
Isla De Maipo,2021.0,2856.0
Isla De Maipo,2022.0,5353.0
Isla De Maipo,2023.0,350.0
La Cisterna,2020.0,2520.0
La Cisterna,2021.0,12053.0
La Cisterna,2022.0,21043.0
La Cisterna,2023.0,1292.0
La Florida,2020.0,10053.0
La Florida,2021.0,45475.0
La Florida,2022.0,74509.0
La Florida,2023.0,4600.0
La Granja,2020.0,4166.0
La Granja,2021.0,17379.0
La Granja,2022.0,26891.0
La Granja,2023.0,1594.0
La Pintana,2020.0,6460.0
La Pintana,2021.0,27036.0
La Pintana,2022.0,40642.0
La Pintana,2023.0,2346.0
La Reina,2020.0,1779.0
La Reina,2021.0,7359.0
La Reina,2022.0,12862.0
La Reina,2023.0,854.0
Lampa,2020.0,1125.0
Lampa,2021.0,7037.0
Lampa,2022.0,12366.0
Lampa,2023.0,750.0
Las Condes,2020.0,6350.0
Las Condes,2021.0,25653.0
Las Condes,2022.0,40899.0
Las Condes,2023.0,2618.0
Lo Barnechea,2020.0,1529.0
Lo Barnechea,2021.0,6286.0
Lo Barnechea,2022.0,10466.0
Lo Barnechea,2023.0,664.0
Lo Espejo,2020.0,3972.0
Lo Espejo,2021.0,17316.0
Lo Espejo,2022.0,25759.0
Lo Espejo,2023.0,1514.0
Lo Prado,2020.0,2978.0
Lo Prado,2021.0,13132.0
Lo Prado,2022.0,22453.0
Lo Prado,2023.0,1398.0
Macul,2020.0,3262.0
Macul,2021.0,13260.0
Macul,2022.0,21366.0
Macul,2023.0,1326.0
Maipú,2020.0,8869.0
Maipú,2021.0,45221.0
Maipú,2022.0,75296.0
Maipú,2023.0,4608.0
Maria Pinto,2020.0,129.0
Maria Pinto,2021.0,717.0
Maria Pinto,2022.0,1543.0
Maria Pinto,2023.0,104.0
Melipilla,2020.0,2357.0
Melipilla,2021.0,12719.0
Melipilla,2022.0,22430.0
Melipilla,2023.0,1372.0
Padre Hurtado,2020.0,1163.0
Padre Hurtado,2021.0,5230.0
Padre Hurtado,2022.0,9075.0
Padre Hurtado,2023.0,576.0
Paine,2020.0,1085.0
Paine,2021.0,5861.0
Paine,2022.0,10596.0
Paine,2023.0,684.0
Pedro Aguirre Cerda,2020.0,4241.0
Pedro Aguirre Cerda,2021.0,18302.0
Pedro Aguirre Cerda,2022.0,28311.0
Pedro Aguirre Cerda,2023.0,1730.0
Penaflor,2020.0,2547.0
Penaflor,2021.0,11371.0
Penaflor,2022.0,18353.0
Penaflor,2023.0,1128.0
