Comuna,Año,Casos confirmados,Porcentaje promedio de cobertura de casos sospechosos,Total de casos positivos según el test PCR,Vacunados 1ra dosis,Vacunados 2da dosis,Vacunados dosis de refuerzo,Vacunados 4ta dosis,Vacunados unica dosis,Fallecidos por covid-19,Total fallecidos,Cant de transacciones BIP en 2020
Alhué,2020,16778.0,89.58421052631579,99.0,0.0,0.0,0.0,0.0,0.0,6.0,83.0,
Alhué,2021,70930.0,67.35882352941177,271.4,7894.0,7538.0,5430.0,0.0,602.0,8.0,541.0,
Alhué,2022,191187.0,88.46666666666667,610.0,551.0,666.0,2516.0,6052.0,0.0,8.0,1088.0,
Alhué,2023,5597.0,,,5.0,1.0,7.0,30.0,0.0,,70.0,
Buin,2020,160555.0,90.89473684210526,90.1,0.0,0.0,0.0,0.0,0.0,158.0,1762.0,
Buin,2021,898107.0,88.64615384615385,385.7,98241.0,93820.0,63672.0,0.0,2613.0,132.0,8405.0,
Buin,2022,2308531.0,93.04102564102564,612.3,3959.0,6178.0,27184.0,67680.0,0.0,51.0,14491.0,
Buin,2023,58051.0,,,37.0,35.0,88.0,272.0,0.0,,896.0,
Calera De Tango,2020,35802.0,90.95263157894736,57.8,0.0,0.0,0.0,0.0,0.0,20.0,204.0,
Calera De Tango,2021,203809.0,91.92115384615384,365.8,28409.0,27165.0,20076.0,0.0,1746.0,38.0,1573.0,
Calera De Tango,2022,531667.0,90.16410256410256,499.7,891.0,1656.0,7339.0,20942.0,0.0,11.0,3063.0,
Calera De Tango,2023,13702.0,,,10.0,4.0,26.0,104.0,0.0,,198.0,
Cerrillos,2020,189656.0,93.82105263157894,64.0,0.0,0.0,0.0,0.0,0.0,126.0,1780.0,1616394.0
Cerrillos,2021,739728.0,85.41923076923078,338.3,67484.0,63675.0,44695.0,0.0,2186.0,130.0,8491.0,
Cerrillos,2022,1678733.0,92.7948717948718,654.9,3271.0,5145.0,18366.0,47773.0,0.0,52.0,13502.0,
Cerrillos,2023,41961.0,,,22.0,22.0,77.0,180.0,0.0,,820.0,
Cerro Navia,2020,401463.0,91.64736842105263,82.1,0.0,0.0,0.0,0.0,0.0,424.0,5237.0,1186714.0
Cerro Navia,2021,1585665.0,90.78653846153846,438.9,102696.0,96186.0,61281.0,0.0,4165.0,349.0,21636.0,
Cerro Navia,2022,2956795.0,93.98974358974358,446.1,6080.0,9213.0,31898.0,65227.0,3.0,116.0,34491.0,
Cerro Navia,2023,67932.0,,,31.0,35.0,119.0,258.0,0.0,,2058.0,
Colina,2020,286992.0,86.67894736842106,78.60000000000001,0.0,0.0,0.0,0.0,0.0,193.0,2384.0,
Colina,2021,1290457.0,85.36346153846154,281.5,132312.0,124449.0,83743.0,0.0,5702.0,162.0,10524.0,
Colina,2022,3356976.0,95.5948717948718,519.7,7109.0,11794.0,40083.0,90348.0,1.0,57.0,16823.0,
Colina,2023,84502.0,,,107.0,64.0,215.0,638.0,0.0,,1036.0,
Conchalí,2020,381377.0,90.47894736842105,108.5,0.0,0.0,0.0,0.0,0.0,371.0,4828.0,1641957.0
Conchalí,2021,1320642.0,86.4921568627451,445.7,132323.0,125727.0,82264.0,0.0,3088.0,289.0,20878.0,
Conchalí,2022,2668503.0,93.11282051282052,516.6,5361.0,8525.0,38211.0,87494.0,0.0,106.0,32455.0,
Conchalí,2023,63378.0,,,37.0,34.0,105.0,329.0,0.0,,1984.0,
Curacaví,2020,59208.0,97.08947368421052,51.8,0.0,0.0,0.0,0.0,0.0,29.0,406.0,
Curacaví,2021,320966.0,87.1549019607843,385.2,31506.0,30075.0,22046.0,0.0,1761.0,51.0,2368.0,
Curacaví,2022,853898.0,96.17179487179487,383.4,1324.0,2197.0,8515.0,22702.0,0.0,16.0,4694.0,
Curacaví,2023,22076.0,,,11.0,3.0,19.0,61.0,0.0,,320.0,
El Bosque,2020,396020.0,91.56315789473685,92.1,0.0,0.0,0.0,0.0,0.0,341.0,4583.0,926224.0
El Bosque,2021,1828017.0,92.07692307692308,441.5,144424.0,135822.0,86015.0,0.0,4456.0,313.0,21037.0,
El Bosque,2022,3671688.0,93.77435897435898,552.7,7078.0,11432.0,45804.0,92755.0,0.0,91.0,34442.0,
El Bosque,2023,87215.0,,,67.0,62.0,221.0,702.0,0.0,,2074.0,
El Monte,2020,72478.0,94.72105263157896,75.8,0.0,0.0,0.0,0.0,0.0,67.0,868.0,
El Monte,2021,339973.0,89.6173076923077,424.5,31759.0,29894.0,19854.0,0.0,1568.0,53.0,3841.0,
